right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
#4e4144,#756464,,#453e41,#7c6c6b,,#524447,#6c5a5e,,#79787d,#e5e3e7,,#bda6a4,#9c8381,,#dec5c3,#bfa19c,#d2b6b2,#af8a90,#855863,,#b7a1a1,#937977,,#d2b9b5,#9f8381,,fall_mute
#1f1c1f,#5c5150,,#736565,#372727,,#271c19,#7f6e6c,,#321e1d,#89706d,,#e3c2b8,#d8b8ab,#c29d8f,#bfab9e,#ccb4aa,#7c6e63,#b07374,#7d4242,,#e0c3b7,#9c7a72,,#c7aa9c,#7a5851,,fall_mute
#6f492f,#976e52,,#603e2a,#392212,,#c49578,#7e5b47,,#ba9784,#a88b77,,#d4a686,#c19270,#a87b5b,#f9e4cf,#f7dbc6,#f0cdb5,#d49078,#9a5741,,#dab192,#9e7154,,#eecfb3,#a37355,,fall_mute
#4c3227,#6e5651,,#42312e,#281714,,#a78a89,#492f2e,,#927976,#2f1615,,#c1a89d,#81655b,,#d7bdb3,#cbb3a9,#b69c94,#a57779,#7a494c,,#cdb3aa,#95766d,,#cdb2a9,#957873,,fall_mute
#5e4641,#2b1f19,,#2a1c14,#695146,,,,,#2a1f1b,#a28d84,,#ead0b0,#eed5b5,#e4c9ae,#ceaea6,#be9f98,#a07d72,#bd8e83,#8e5750,,#e2c3ad,#97705f,,#d9bca4,#846254,,fall_mute
#292018,#725f56,,#3b2f29,#685951,,#30211a,#856d65,,#907970,#30211b,,#dac7c1,#d0b9b0,#bda498,#d6bfb4,#cfb8a9,#c5ad99,#af7070,#7d3b37,,#dccac1,#906e60,,#c8b1a5,#876455,,fall_mute
#28241e,#5f534a,,#bca291,#8f7161,,#0e1212,#676f6e,,#272a2b,#aaafb1,,#d4bdb0,#ceb6a3,#c3a792,#b79986,#927764,,#bc7f75,#774841,,#cfb7a7,#957767,,#c8ae9d,#755b4f,,fall_mute
#40342d,#7a6a5f,,#251f1a,#65544b,,#87746f,#2d2426,,#37322f,#9a8a83,,#eddcd6,#e6d4cb,#ddc7bc,#e9d4cc,#dac1b8,#c3a9a2,#d1918f,#9d5050,,#dcc4ba,#805f54,,#e0cbc0,#b4948d,,fall_mute
#3d2121,#896c6a,,#452828,#926e72,,,,,#372227,#7b5b5f,,#f0d4d0,#d5b0ab,#b69393,#f5dcd6,#e7cac3,#d4b6aa,#cfa6a9,#7e5153,,#eed3d1,#986c6c,,#d8b9b2,#906d63,,fall_mute
#655056,#91777d,,#8c788b,#c3a6b5,,#523d43,#ba9fae,,#49323a,#a38393,,#e9c8d0,#efd4dc,,#d4b0b3,#a77d6e,#c09c97,#9e5c68,#d296aa,,#dfb9bf,#845756,,#dfb7bd,#aa7f7a,,winter_bright
#cea695,#876151,,#503a36,#f4f4f4,,#c79187,#5c312a,,#d79987,,,#e7b5a0,#b17562,,#e1a88f,#cf9880,#f4c9b7,#d7897b,#9d4d41,,#e0ac99,#ad7159,,#dfa892,#895749,,winter_bright
#b1968f,#705650,,#7b6354,#bfa791,,#b0918f,#4c322e,,#a1867b,#3c241d,,#eacdbd,#e4bfaa,#f4d9cd,#e3bfb2,#c8a08e,#b28672,#c38887,#7d3c3d,,#ac7f73,#f8e4dc,,#d8b5a5,#ac8270,,winter_bright
#453b41,#a78a84,,#474147,#958586,,,,,#ab8886,#3b2222,,#eec6bb,#d7b2a8,#f7dcdc,#e4b6ab,#c9998c,,#d49394,#a86064,,#e0b19f,#95685a,,#e1b8ad,#7b5855,,winter_bright
#604c4f,#90797a,,#af908e,#d1b7b8,,#968790,#4e3e47,,#443e4b,#a6939f,,#efd5d7,#e9cbcb,#e3bfb9,#d3b3b6,#ccacae,#c0a0a3,#d189a5,#a8617c,,#e1c5c5,#a58080,,#dfc2c1,#a37d7f,,winter_bright
#755243,#9a786c,,#7f5b4d,#a18074,,#2d2427,#8d7f84,,#292123,#8c7c81,,#d9bdba,#d1b2ac,#c1a299,#cbaba8,#d8bbbb,#ba9790,#af7483,#733c41,,#cab0a8,#76544d,,#bea097,#724f44,,winter_bright
