right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
5521986,9073781,0,9796217,12625579,0,2168090,8218220,0,10059912,2955294,0,15518403,12689815,6505785,15056051,13148573,10322048,7094080,13208971,0,15519693,7096388,0,13544871,5257011,0,summer_mute
10649716,2432279,0,11835016,9465955,0,10915463,3876383,0,11046789,4271397,0,14729655,12161412,9793375,14730425,15258053,13875116,12748164,6829104,0,15324106,8280652,0,13676965,6966079,0,summer_mute
3219492,6770513,0,4404276,9663855,0,8609629,9004900,0,10123643,9531504,0,14925485,13806745,12886154,12819084,11700862,13674136,11433333,8604236,0,14333089,10250336,0,13412245,9991531,0,summer_mute
0,0,0,2629150,4799802,0,11119541,3816256,0,4340543,11513530,0,9924954,13878726,12032658,14868968,14605024,14275030,13079721,8934755,0,13680831,9728359,0,13681604,8873818,0,summer_mute
11184291,7368048,0,3357764,6644837,0,3357510,9013388,0,2503486,4873833,0,11314082,12037806,9932430,13616830,12958388,14340809,8545133,10783635,0,12169131,9010809,0,12564143,7630192,0,summer_mute
5324343,9796980,0,7033940,11046544,0,0,0,0,2169112,7233123,0,11899802,14598335,9860237,15585739,14335410,10123887,11171192,6501681,0,13545904,7360844,0,13413546,8808054,0,summer_mute
6179650,9271148,0,8086617,10718336,0,4010542,9273212,0,4668216,10325897,0,14796476,10981510,5521462,12888480,13480361,12624537,12681600,9653579,0,15588567,10848637,0,13151908,6507331,0,summer_mute
6443609,10520456,0,9927280,4666421,0,8084314,11505807,0,7425349,13608865,0,15910320,12426896,14661279,16112077,16311519,16181999,14395045,11892080,0,15386300,12029827,0,15584967,11373183,0,summer_mute
7558984,12098957,0,10587262,5587768,0,10850183,3677978,0,3680548,9403763,0,13481378,14204586,11835782,14073258,13611418,14337461,11502456,7553853,0,13020055,6637109,0,13217433,8609360,0,summer_mute
5587514,7692374,0,7955290,11047559,0,3221800,7496802,0,4010032,8942445,0,14335661,15192256,13676959,11241851,11242878,10847605,8540746,12817290,0,14929341,10912626,0,9992813,14402226,0,summer_mute
9794912,12493194,0,10650221,13216664,0,3945003,9928564,0,10125686,3746855,0,15522511,14994363,14137251,15257794,14598575,13413011,12485747,9524290,0,14665653,9267542,0,14335917,10253666,0,summer_mute
9072484,10387316,0,10914692,8085335,0,8481121,6640202,0,9861743,0,0,12359821,13741473,10254701,11835272,13019031,10585205,8738643,11237750,0,13939882,9202016,0,11768712,6309182,0,summer_mute
